query_id,doc_id,method,hit_at_1,hit_at_3,mrr,recall,precision
doc003_q01,doc003,dat_full,1,1,0.6607,0.8875,0.373
doc003_q01,doc003,flat_rag,0,1,0.5202,0.4352,0.6186
doc003_q01,doc003,section_rag,1,1,0.6904,0.6882,0.7762
doc003_q01,doc003,long_context,,,,,
doc003_q01,doc003,dat_no_expansion,1,1,0.7791,0.6568,0.7064
doc003_q01,doc003,dat_parent_only,1,1,0.8951,0.6288,0.5686
doc003_q01,doc003,dat_no_self_scoring,1,1,0.582,0.6869,0.2935
doc003_q02,doc003,dat_full,1,1,0.7373,0.7906,0.6918
doc003_q02,doc003,flat_rag,0,0,0.4601,0.4102,0.5147
doc003_q02,doc003,section_rag,1,1,0.8297,0.7421,0.8321
doc003_q02,doc003,long_context,,,,,
doc003_q02,doc003,dat_no_expansion,1,1,0.671,0.7617,0.6603
doc003_q02,doc003,dat_parent_only,1,1,0.9321,0.6904,0.3177
doc003_q02,doc003,dat_no_self_scoring,0,1,0.8287,0.9168,0.733
doc003_q03,doc003,dat_full,0,1,0.6786,0.8234,0.6465
doc003_q03,doc003,flat_rag,0,0,0.6936,0.5604,0.7014
doc003_q03,doc003,section_rag,1,1,0.6309,0.7822,0.8413
doc003_q03,doc003,long_context,,,,,
doc003_q03,doc003,dat_no_expansion,1,1,0.5581,0.6967,0.6529
doc003_q03,doc003,dat_parent_only,1,1,0.9198,0.4436,0.5758
doc003_q03,doc003,dat_no_self_scoring,1,1,0.6387,0.7445,0.6179
doc003_q04,doc003,dat_full,1,1,0.8981,0.8303,0.5142
doc003_q04,doc003,flat_rag,0,0,0.6156,0.5256,0.6347
doc003_q04,doc003,section_rag,0,1,0.7884,0.6337,0.7788
doc003_q04,doc003,long_context,,,,,
doc003_q04,doc003,dat_no_expansion,1,1,0.7345,0.7,0.4066
doc003_q04,doc003,dat_parent_only,1,1,0.6328,0.707,0.5704
doc003_q04,doc003,dat_no_self_scoring,0,0,0.3908,0.5451,0.3796
doc003_q05,doc003,dat_full,1,1,0.8217,0.6478,0.9009
doc003_q05,doc003,flat_rag,0,1,0.2307,0.7192,0.4963
doc003_q05,doc003,section_rag,0,1,0.7394,0.8162,0.7716
doc003_q05,doc003,long_context,,,,,
doc003_q05,doc003,dat_no_expansion,1,1,0.6171,0.8569,0.4462
doc003_q05,doc003,dat_parent_only,0,1,0.4827,0.7678,0.657
doc003_q05,doc003,dat_no_self_scoring,1,1,0.7526,0.8914,0.714
doc003_q06,doc003,dat_full,1,1,0.7777,0.9736,0.8579
doc003_q06,doc003,flat_rag,1,1,0.378,0.4935,0.4057
doc003_q06,doc003,section_rag,0,0,0.7305,0.716,0.3015
doc003_q06,doc003,long_context,,,,,
doc003_q06,doc003,dat_no_expansion,1,1,0.6006,0.6625,0.3304
doc003_q06,doc003,dat_parent_only,1,1,0.8057,0.7092,0.6766
doc003_q06,doc003,dat_no_self_scoring,0,1,0.6882,0.676,0.6471
doc003_q07,doc003,dat_full,1,1,0.896,0.7334,0.722
doc003_q07,doc003,flat_rag,0,0,0.3321,0.4757,0.3448
doc003_q07,doc003,section_rag,1,1,0.793,0.7364,0.4824
doc003_q07,doc003,long_context,,,,,
doc003_q07,doc003,dat_no_expansion,0,1,0.6512,0.835,0.5356
doc003_q07,doc003,dat_parent_only,1,1,0.844,0.8595,0.6327
doc003_q07,doc003,dat_no_self_scoring,1,1,0.6677,0.5973,0.6656
doc003_q08,doc003,dat_full,0,1,0.998,0.7056,0.6783
doc003_q08,doc003,flat_rag,1,1,0.3716,0.815,0.4239
doc003_q08,doc003,section_rag,0,0,0.6694,0.4729,0.606
doc003_q08,doc003,long_context,,,,,
doc003_q08,doc003,dat_no_expansion,1,1,0.6044,0.9018,0.6857
doc003_q08,doc003,dat_parent_only,1,1,0.8002,0.8199,0.4086
doc003_q08,doc003,dat_no_self_scoring,1,1,0.6938,0.8047,0.7213
doc004_q01,doc004,dat_full,1,1,0.7577,0.5638,0.7637
doc004_q01,doc004,flat_rag,0,1,0.3752,0.6385,0.8164
doc004_q01,doc004,section_rag,1,1,0.5599,0.8015,0.5532
doc004_q01,doc004,long_context,,,,,
doc004_q01,doc004,dat_no_expansion,1,1,0.6986,0.9511,0.9095
doc004_q01,doc004,dat_parent_only,0,0,0.5517,0.8124,0.5127
doc004_q01,doc004,dat_no_self_scoring,1,1,0.4837,0.8611,0.7621
doc004_q02,doc004,dat_full,1,1,0.9309,0.8886,0.8885
doc004_q02,doc004,flat_rag,0,0,0.2208,0.4453,0.5783
doc004_q02,doc004,section_rag,1,1,0.6235,0.6638,0.343
doc004_q02,doc004,long_context,,,,,
doc004_q02,doc004,dat_no_expansion,1,1,0.8995,0.6915,0.4016
doc004_q02,doc004,dat_parent_only,1,1,0.6726,0.6042,0.6351
doc004_q02,doc004,dat_no_self_scoring,0,1,0.9795,0.9588,0.2955
doc004_q03,doc004,dat_full,0,1,0.8032,0.912,0.6709
doc004_q03,doc004,flat_rag,0,0,0.7142,0.5652,0.5525
doc004_q03,doc004,section_rag,1,1,0.7642,0.7476,0.675
doc004_q03,doc004,long_context,,,,,
doc004_q03,doc004,dat_no_expansion,0,1,0.4229,0.5782,0.507
doc004_q03,doc004,dat_parent_only,0,1,0.7307,0.7578,0.6529
doc004_q03,doc004,dat_no_self_scoring,0,1,0.5617,0.6261,0.6584
doc004_q04,doc004,dat_full,1,1,0.9506,0.9555,0.563
doc004_q04,doc004,flat_rag,1,1,0.6196,0.6029,0.5509
doc004_q04,doc004,section_rag,1,1,0.6496,0.8908,0.6155
doc004_q04,doc004,long_context,,,,,
doc004_q04,doc004,dat_no_expansion,0,0,0.7599,0.8403,0.6081
doc004_q04,doc004,dat_parent_only,1,1,0.9202,0.7779,0.492
doc004_q04,doc004,dat_no_self_scoring,0,1,0.8674,0.6226,0.4248
doc004_q05,doc004,dat_full,0,1,0.7815,0.7686,0.4982
doc004_q05,doc004,flat_rag,0,0,0.2512,0.5287,0.7004
doc004_q05,doc004,section_rag,1,1,0.7804,0.6315,0.7363
doc004_q05,doc004,long_context,,,,,
doc004_q05,doc004,dat_no_expansion,0,1,0.7169,0.6952,0.6277
doc004_q05,doc004,dat_parent_only,1,1,0.79,0.7429,0.6315
doc004_q05,doc004,dat_no_self_scoring,0,1,0.4803,0.8381,0.6201
doc004_q06,doc004,dat_full,1,1,0.847,0.794,0.5123
doc004_q06,doc004,flat_rag,1,1,0.5512,0.7123,0.7496
doc004_q06,doc004,section_rag,0,1,0.3105,0.8576,0.6266
doc004_q06,doc004,long_context,,,,,
doc004_q06,doc004,dat_no_expansion,1,1,0.9267,0.7378,0.7823
doc004_q06,doc004,dat_parent_only,0,1,0.6505,0.6811,0.7371
doc004_q06,doc004,dat_no_self_scoring,1,1,0.7254,0.4322,0.7417
doc004_q07,doc004,dat_full,1,1,0.6887,0.6784,0.6212
doc004_q07,doc004,flat_rag,0,0,0.5259,0.6566,0.6739
doc004_q07,doc004,section_rag,0,1,0.9,0.665,0.9255
doc004_q07,doc004,long_context,,,,,
doc004_q07,doc004,dat_no_expansion,1,1,0.8634,0.7367,0.3587
doc004_q07,doc004,dat_parent_only,1,1,0.549,0.7247,0.5386
doc004_q07,doc004,dat_no_self_scoring,1,1,0.5764,0.8438,0.4374
doc004_q08,doc004,dat_full,1,1,0.7394,0.7731,0.4512
doc004_q08,doc004,flat_rag,1,1,0.6366,0.5662,0.5495
doc004_q08,doc004,section_rag,1,1,0.8154,0.6871,0.6859
doc004_q08,doc004,long_context,,,,,
doc004_q08,doc004,dat_no_expansion,1,1,0.6762,0.7529,0.6227
doc004_q08,doc004,dat_parent_only,1,1,0.5188,0.7063,0.665
doc004_q08,doc004,dat_no_self_scoring,0,0,0.7739,0.6101,0.6479
doc005_q01,doc005,dat_full,1,1,0.887,0.656,0.5569
doc005_q01,doc005,flat_rag,0,0,0.594,0.3618,0.8407
doc005_q01,doc005,section_rag,0,1,1,0.5985,0.6966
doc005_q01,doc005,long_context,,,,,
doc005_q01,doc005,dat_no_expansion,0,1,0.5015,0.7191,0.4632
doc005_q01,doc005,dat_parent_only,1,1,0.4146,0.5631,0.6786
doc005_q01,doc005,dat_no_self_scoring,0,1,0.2873,0.6778,1
doc005_q02,doc005,dat_full,1,1,0.5383,0.7295,0.6115
doc005_q02,doc005,flat_rag,0,1,0.6173,0.6564,0.5059
doc005_q02,doc005,section_rag,1,1,1,0.8625,0.6305
doc005_q02,doc005,long_context,,,,,
doc005_q02,doc005,dat_no_expansion,1,1,0.8635,0.4581,0.6663
doc005_q02,doc005,dat_parent_only,1,1,0.7597,0.7562,0.8128
doc005_q02,doc005,dat_no_self_scoring,0,1,0.3098,0.5948,0.8226
doc005_q03,doc005,dat_full,1,1,0.7073,0.9283,0.4547
doc005_q03,doc005,flat_rag,0,0,0.4008,0.4774,0.7003
doc005_q03,doc005,section_rag,1,1,0.8095,0.6255,0.6294
doc005_q03,doc005,long_context,,,,,
doc005_q03,doc005,dat_no_expansion,0,1,0.8508,0.8195,0.6559
doc005_q03,doc005,dat_parent_only,1,1,0.5323,0.7402,0.6379
doc005_q03,doc005,dat_no_self_scoring,0,1,0.6169,0.8484,0.583
doc005_q04,doc005,dat_full,0,1,0.8256,0.893,0.6563
doc005_q04,doc005,flat_rag,0,1,0.3983,0.5867,0.65
doc005_q04,doc005,section_rag,1,1,0.7466,0.6215,0.3609
doc005_q04,doc005,long_context,,,,,
doc005_q04,doc005,dat_no_expansion,1,1,0.6108,0.6972,0.6146
doc005_q04,doc005,dat_parent_only,1,1,0.6883,0.6015,0.6543
doc005_q04,doc005,dat_no_self_scoring,1,1,0.5944,0.6804,0.4836
doc005_q05,doc005,dat_full,1,1,0.7352,0.7051,0.8137
doc005_q05,doc005,flat_rag,0,1,0.1796,0.4727,0.7437
doc005_q05,doc005,section_rag,0,1,0.6388,0.6938,0.8291
doc005_q05,doc005,long_context,,,,,
doc005_q05,doc005,dat_no_expansion,0,1,0.4964,0.6427,0.4367
doc005_q05,doc005,dat_parent_only,0,0,0.6185,0.3222,0.5507
doc005_q05,doc005,dat_no_self_scoring,0,1,0.5721,0.5577,0.5859
doc005_q06,doc005,dat_full,1,1,0.7959,0.9581,0.6744
doc005_q06,doc005,flat_rag,1,1,0.6474,0.3613,0.644
doc005_q06,doc005,section_rag,1,1,0.7219,0.553,0.9496
doc005_q06,doc005,long_context,,,,,
doc005_q06,doc005,dat_no_expansion,0,1,0.5083,0.7709,0.3877
doc005_q06,doc005,dat_parent_only,0,1,0.8055,0.632,0.6989
doc005_q06,doc005,dat_no_self_scoring,0,1,0.4662,0.8146,0.5635
doc005_q07,doc005,dat_full,0,1,0.5613,0.9991,0.6756
doc005_q07,doc005,flat_rag,1,1,0.9386,0.4998,0.2265
doc005_q07,doc005,section_rag,0,1,0.5619,0.7235,0.8
doc005_q07,doc005,long_context,,,,,
doc005_q07,doc005,dat_no_expansion,0,1,0.5639,0.9347,0.4979
doc005_q07,doc005,dat_parent_only,1,1,0.7353,0.8257,0.3687
doc005_q07,doc005,dat_no_self_scoring,0,1,0.7554,0.8319,0.6751
doc005_q08,doc005,dat_full,1,1,0.9231,0.8765,0.6025
doc005_q08,doc005,flat_rag,0,1,0.5611,0.4546,0.8172
doc005_q08,doc005,section_rag,1,1,0.9613,0.6844,0.5599
doc005_q08,doc005,long_context,,,,,
doc005_q08,doc005,dat_no_expansion,0,1,0.8756,0.6535,0.4214
doc005_q08,doc005,dat_parent_only,1,1,0.6778,0.7355,0.6213
doc005_q08,doc005,dat_no_self_scoring,0,1,0.7471,0.8824,0.5911
doc006_q01,doc006,dat_full,0,1,0.8631,0.7158,0.7581
doc006_q01,doc006,flat_rag,1,1,0.5761,0.6197,0.7269
doc006_q01,doc006,section_rag,0,1,0.7403,0.7807,0.5245
doc006_q01,doc006,long_context,,,,,
doc006_q01,doc006,dat_no_expansion,0,1,0.9842,0.5594,0.919
doc006_q01,doc006,dat_parent_only,0,1,0.6789,0.7892,0.5927
doc006_q01,doc006,dat_no_self_scoring,0,1,0.5436,0.6546,0.6362
doc006_q02,doc006,dat_full,1,1,0.8693,0.785,0.617
doc006_q02,doc006,flat_rag,0,1,0.4629,0.7042,0.7812
doc006_q02,doc006,section_rag,1,1,0.4497,0.8121,0.614
doc006_q02,doc006,long_context,,,,,
doc006_q02,doc006,dat_no_expansion,1,1,0.5559,0.6724,0.8463
doc006_q02,doc006,dat_parent_only,0,1,0.7415,0.5293,0.4321
doc006_q02,doc006,dat_no_self_scoring,0,1,0.4715,0.5849,0.683
doc006_q03,doc006,dat_full,1,1,0.8347,0.8504,0.623
doc006_q03,doc006,flat_rag,0,0,0.6211,0.4382,0.902
doc006_q03,doc006,section_rag,1,1,0.6966,0.787,0.3696
doc006_q03,doc006,long_context,,,,,
doc006_q03,doc006,dat_no_expansion,1,1,0.6771,0.7043,0.748
doc006_q03,doc006,dat_parent_only,0,1,0.6745,0.6006,0.831
doc006_q03,doc006,dat_no_self_scoring,1,1,0.4248,0.6184,0.694
doc006_q04,doc006,dat_full,1,1,0.9511,0.6129,0.4741
doc006_q04,doc006,flat_rag,1,1,0.6782,0.6847,0.5083
doc006_q04,doc006,section_rag,1,1,0.8557,0.6926,0.61
doc006_q04,doc006,long_context,,,,,
doc006_q04,doc006,dat_no_expansion,1,1,0.6849,0.5246,0.4102
doc006_q04,doc006,dat_parent_only,1,1,0.6519,0.7772,0.4309
doc006_q04,doc006,dat_no_self_scoring,1,1,0.4339,0.5,0.7695
doc006_q05,doc006,dat_full,1,1,0.6948,0.592,0.4702
doc006_q05,doc006,flat_rag,1,1,0.311,0.55,0.6621
doc006_q05,doc006,section_rag,0,1,0.8169,0.4932,0.7079
doc006_q05,doc006,long_context,,,,,
doc006_q05,doc006,dat_no_expansion,0,1,0.8516,0.7248,0.7884
doc006_q05,doc006,dat_parent_only,1,1,0.7043,0.6434,0.9578
doc006_q05,doc006,dat_no_self_scoring,0,1,0.5341,0.7243,0.88
doc006_q06,doc006,dat_full,1,1,0.813,0.9328,0.7484
doc006_q06,doc006,flat_rag,0,1,0.5192,0.5487,0.7373
doc006_q06,doc006,section_rag,1,1,0.7001,0.4674,0.7695
doc006_q06,doc006,long_context,,,,,
doc006_q06,doc006,dat_no_expansion,1,1,0.7638,0.6858,0.7557
doc006_q06,doc006,dat_parent_only,1,1,0.8526,0.9012,0.4032
doc006_q06,doc006,dat_no_self_scoring,1,1,0.7997,0.6877,0.8186
doc006_q07,doc006,dat_full,1,1,0.6277,0.7524,0.5457
doc006_q07,doc006,flat_rag,0,0,0.6094,0.7276,0.5264
doc006_q07,doc006,section_rag,1,1,0.8035,0.703,0.5322
doc006_q07,doc006,long_context,,,,,
doc006_q07,doc006,dat_no_expansion,0,1,0.6581,0.6906,0.6418
doc006_q07,doc006,dat_parent_only,1,1,0.7514,0.725,0.6079
doc006_q07,doc006,dat_no_self_scoring,1,1,0.6078,0.632,0.5989
doc006_q08,doc006,dat_full,0,1,0.7566,0.6279,0.6047
doc006_q08,doc006,flat_rag,0,0,0.4068,0.542,0.6099
doc006_q08,doc006,section_rag,1,1,0.7567,0.6052,0.7498
doc006_q08,doc006,long_context,,,,,
doc006_q08,doc006,dat_no_expansion,1,1,0.762,0.6783,0.4488
doc006_q08,doc006,dat_parent_only,1,1,0.5442,0.5067,0.5715
doc006_q08,doc006,dat_no_self_scoring,0,1,0.605,0.4312,0.6523
doc007_q01,doc007,dat_full,1,1,0.8424,0.9442,0.4606
doc007_q01,doc007,flat_rag,0,0,0.2746,0.496,0.6284
doc007_q01,doc007,section_rag,1,1,0.5085,0.5749,0.8275
doc007_q01,doc007,long_context,,,,,
doc007_q01,doc007,dat_no_expansion,1,1,0.6358,0.7124,0.5571
doc007_q01,doc007,dat_parent_only,0,1,0.8504,0.7325,0.6438
doc007_q01,doc007,dat_no_self_scoring,1,1,0.5133,0.6364,0.5618
doc007_q02,doc007,dat_full,1,1,0.8423,0.806,0.6345
doc007_q02,doc007,flat_rag,0,0,0.4866,0.5202,0.4375
doc007_q02,doc007,section_rag,0,1,0.7682,0.5049,0.6061
doc007_q02,doc007,long_context,,,,,
doc007_q02,doc007,dat_no_expansion,1,1,0.6117,0.8048,0.5205
doc007_q02,doc007,dat_parent_only,0,1,1,0.6903,0.4264
doc007_q02,doc007,dat_no_self_scoring,1,1,0.7866,0.7584,0.6542
doc007_q03,doc007,dat_full,1,1,0.5216,0.4994,0.5916
doc007_q03,doc007,flat_rag,1,1,0.4931,0.4436,0.7588
doc007_q03,doc007,section_rag,0,1,0.8231,0.5676,0.5143
doc007_q03,doc007,long_context,,,,,
doc007_q03,doc007,dat_no_expansion,1,1,1,0.504,0.5135
doc007_q03,doc007,dat_parent_only,0,1,0.8718,0.6776,0.5565
doc007_q03,doc007,dat_no_self_scoring,1,1,0.4714,0.6683,0.684
doc007_q04,doc007,dat_full,1,1,0.8011,0.805,0.4588
doc007_q04,doc007,flat_rag,1,1,0.2727,0.5414,0.7241
doc007_q04,doc007,section_rag,0,1,0.748,0.6002,0.6681
doc007_q04,doc007,long_context,,,,,
doc007_q04,doc007,dat_no_expansion,1,1,0.6404,0.6724,0.6839
doc007_q04,doc007,dat_parent_only,1,1,0.5728,0.7285,0.6899
doc007_q04,doc007,dat_no_self_scoring,1,1,0.5863,0.7318,0.7296
doc007_q05,doc007,dat_full,1,1,0.8904,0.7242,0.5266
doc007_q05,doc007,flat_rag,0,0,0.3871,0.557,0.8278
doc007_q05,doc007,section_rag,0,1,0.3708,0.596,0.6833
doc007_q05,doc007,long_context,,,,,
doc007_q05,doc007,dat_no_expansion,1,1,0.7184,0.8318,0.5813
doc007_q05,doc007,dat_parent_only,1,1,0.6351,0.7727,0.4488
doc007_q05,doc007,dat_no_self_scoring,1,1,0.8455,0.5646,0.3595
doc007_q06,doc007,dat_full,1,1,0.5444,0.8795,0.5435
doc007_q06,doc007,flat_rag,0,1,0.6803,0.4824,0.6754
doc007_q06,doc007,section_rag,1,1,0.7545,0.5458,0.4677
doc007_q06,doc007,long_context,,,,,
doc007_q06,doc007,dat_no_expansion,0,1,0.7514,0.8073,0.9034
doc007_q06,doc007,dat_parent_only,0,1,0.2747,0.7779,0.6371
doc007_q06,doc007,dat_no_self_scoring,0,1,0.4877,0.7482,0.4644
doc007_q07,doc007,dat_full,1,1,0.9352,0.956,0.7541
doc007_q07,doc007,flat_rag,0,0,0.7764,0.6193,0.6735
doc007_q07,doc007,section_rag,1,1,0.5901,0.5391,0.6195
doc007_q07,doc007,long_context,,,,,
doc007_q07,doc007,dat_no_expansion,1,1,0.552,0.6445,0.5578
doc007_q07,doc007,dat_parent_only,0,1,0.8988,0.7707,0.8221
doc007_q07,doc007,dat_no_self_scoring,1,1,0.5806,0.7221,0.3625
doc007_q08,doc007,dat_full,0,1,0.7138,0.8179,0.5479
doc007_q08,doc007,flat_rag,0,1,0.571,0.5196,0.5632
doc007_q08,doc007,section_rag,0,1,0.7042,0.7433,0.709
doc007_q08,doc007,long_context,,,,,
