query_id,doc_id,method,llm_calls,total_tokens,latency_seconds,estimated_cost_usd
doc001_q06,doc001,dat_parent_only,8,11181,3.935,0.001682
doc001_q06,doc001,dat_no_self_scoring,7,9120,2.825,0.001869
doc001_q07,doc001,dat_full,13,10198,5.158,0.002641
doc001_q07,doc001,flat_rag,2,4416,2.074,0.001306
doc001_q07,doc001,section_rag,3,7248,2.652,0.000877
doc001_q07,doc001,long_context,2,13286,3.819,0.001854
doc001_q07,doc001,dat_no_expansion,8,8342,3.623,0.002901
doc001_q07,doc001,dat_parent_only,7,8045,3.423,0.002503
doc001_q07,doc001,dat_no_self_scoring,6,8479,4.425,0.002113
doc001_q08,doc001,dat_full,10,9305,5.369,0.002505
doc001_q08,doc001,flat_rag,2,5231,1.921,0.001234
doc001_q08,doc001,section_rag,4,6183,2.319,0.001502
doc001_q08,doc001,long_context,2,14761,3.903,0.003201
doc001_q08,doc001,dat_no_expansion,9,9517,4.936,0.00223
doc001_q08,doc001,dat_parent_only,7,8745,3.859,0.001408
doc001_q08,doc001,dat_no_self_scoring,7,7939,1.893,0.002066
doc001_q09,doc001,dat_full,12,11502,4.557,0.003449
doc001_q09,doc001,flat_rag,2,4461,2.026,0.000712
doc001_q09,doc001,section_rag,3,6104,3.137,0.002006
doc001_q09,doc001,long_context,2,13629,3.921,0.002954
doc001_q09,doc001,dat_no_expansion,8,9221,4.564,0.002064
doc001_q09,doc001,dat_parent_only,7,8705,3.585,0.002458
doc001_q09,doc001,dat_no_self_scoring,7,8307,2.618,0.002439
doc001_q10,doc001,dat_full,10,10105,5.641,0.00382
doc001_q10,doc001,flat_rag,2,4780,2.617,0.000908
doc001_q10,doc001,section_rag,4,6196,3.002,0.001567
doc001_q10,doc001,long_context,1,10110,3.385,0.002783
doc001_q10,doc001,dat_no_expansion,7,9556,4.202,0.001509
doc001_q10,doc001,dat_parent_only,7,9549,3.244,0.002
doc001_q10,doc001,dat_no_self_scoring,6,9214,2.768,0.001337
doc002_q01,doc002,dat_full,11,13131,4.495,0.003811
doc002_q01,doc002,flat_rag,2,3050,2.076,0.001495
doc002_q01,doc002,section_rag,4,7344,4.026,0.002015
doc002_q01,doc002,long_context,2,11543,2.749,0.00205
doc002_q01,doc002,dat_no_expansion,9,10431,3.558,0.002148
doc002_q01,doc002,dat_parent_only,8,9509,4.27,0.001827
doc002_q01,doc002,dat_no_self_scoring,8,7740,4.092,0.001767
doc002_q02,doc002,dat_full,12,10351,4.083,0.002556
doc002_q02,doc002,flat_rag,2,5288,2.265,0.001377
doc002_q02,doc002,section_rag,3,6537,3.939,0.001871
doc002_q02,doc002,long_context,1,16271,2.847,0.001726
doc002_q02,doc002,dat_no_expansion,8,10963,3.388,0.002519
doc002_q02,doc002,dat_parent_only,6,9856,4.491,0.001993
doc002_q02,doc002,dat_no_self_scoring,6,9305,4.036,0.001583
doc002_q03,doc002,dat_full,10,8934,5.633,0.002867
doc002_q03,doc002,flat_rag,2,4912,1.628,0.001191
doc002_q03,doc002,section_rag,4,5622,2.848,0.002046
doc002_q03,doc002,long_context,2,14453,2.25,0.00247
doc002_q03,doc002,dat_no_expansion,8,9906,3.338,0.001351
doc002_q03,doc002,dat_parent_only,7,8464,3.715,0.001862
doc002_q03,doc002,dat_no_self_scoring,6,7964,3.134,0.001943
doc002_q04,doc002,dat_full,10,10721,4.411,0.003309
doc002_q04,doc002,flat_rag,2,3885,1.464,0.000965
doc002_q04,doc002,section_rag,4,7814,3.528,0.001756
doc002_q04,doc002,long_context,1,16513,1.865,0.002102
doc002_q04,doc002,dat_no_expansion,8,9976,3.584,0.002231
doc002_q04,doc002,dat_parent_only,7,8460,1.942,0.001665
doc002_q04,doc002,dat_no_self_scoring,5,7203,3.46,0.00163
doc002_q05,doc002,dat_full,9,11251,4.171,0.002327
doc002_q05,doc002,flat_rag,2,6415,3.105,0.001313
doc002_q05,doc002,section_rag,3,5970,3.306,0.001476
doc002_q05,doc002,long_context,2,10400,2.823,0.002406
doc002_q05,doc002,dat_no_expansion,10,9873,3.733,0.002601
doc002_q05,doc002,dat_parent_only,7,6899,3.793,0.001944
doc002_q05,doc002,dat_no_self_scoring,6,8285,5.106,0.002608
doc002_q06,doc002,dat_full,11,12407,4.498,0.003548
doc002_q06,doc002,flat_rag,2,5340,1.709,0.000932
doc002_q06,doc002,section_rag,4,7557,3.549,0.001492
doc002_q06,doc002,long_context,2,14243,3.413,0.001905
doc002_q06,doc002,dat_no_expansion,9,8164,3.318,0.002038
doc002_q06,doc002,dat_parent_only,8,6104,3.698,0.002533
doc002_q06,doc002,dat_no_self_scoring,7,10272,4.338,0.001771
doc002_q07,doc002,dat_full,11,10347,4.866,0.003393
doc002_q07,doc002,flat_rag,2,5354,1.796,0.001446
doc002_q07,doc002,section_rag,4,8043,2.936,0.00155
doc002_q07,doc002,long_context,2,14034,4.056,0.002028
doc002_q07,doc002,dat_no_expansion,9,6444,3.62,0.00182
doc002_q07,doc002,dat_parent_only,8,6275,4.322,0.001278
doc002_q07,doc002,dat_no_self_scoring,6,9998,3.21,0.002239
doc002_q08,doc002,dat_full,11,7705,3.514,0.002968
doc002_q08,doc002,flat_rag,2,5625,1.613,0.00113
doc002_q08,doc002,section_rag,3,7164,4.136,0.001408
doc002_q08,doc002,long_context,2,11693,2.142,0.001809
doc002_q08,doc002,dat_no_expansion,9,10447,4.116,0.002617
doc002_q08,doc002,dat_parent_only,7,6449,4.341,0.003052
doc002_q08,doc002,dat_no_self_scoring,7,7120,4.414,0.002062
doc003_q01,doc003,dat_full,12,10913,6.991,0.004475
doc003_q01,doc003,flat_rag,2,5419,2.216,0.001545
doc003_q01,doc003,section_rag,4,6169,2.985,0.002027
doc003_q01,doc003,long_context,2,12265,3.957,0.002843
doc003_q01,doc003,dat_no_expansion,9,8515,3.593,0.002428
doc003_q01,doc003,dat_parent_only,9,8097,4.69,0.001816
doc003_q01,doc003,dat_no_self_scoring,6,9400,3.866,0.001831
doc003_q02,doc003,dat_full,12,10624,4.845,0.002446
doc003_q02,doc003,flat_rag,2,6157,2.13,0.001331
doc003_q02,doc003,section_rag,3,5796,3.524,0.001616
doc003_q02,doc003,long_context,2,8146,3.115,0.001572
doc003_q02,doc003,dat_no_expansion,7,13702,4.71,0.002037
doc003_q02,doc003,dat_parent_only,8,7819,2.287,0.002236
doc003_q02,doc003,dat_no_self_scoring,6,9473,3.495,0.001696
doc003_q03,doc003,dat_full,11,14354,3.147,0.002858
doc003_q03,doc003,flat_rag,2,5392,1.776,0.001064
doc003_q03,doc003,section_rag,4,9038,2.962,0.001214
doc003_q03,doc003,long_context,2,11670,3.98,0.002902
doc003_q03,doc003,dat_no_expansion,8,10508,2.566,0.00186
doc003_q03,doc003,dat_parent_only,7,8439,3.83,0.002113
doc003_q03,doc003,dat_no_self_scoring,6,7853,3.481,0.002107
doc003_q04,doc003,dat_full,11,10366,3.972,0.003216
doc003_q04,doc003,flat_rag,2,5108,2.304,0.001019
doc003_q04,doc003,section_rag,3,5889,3.609,0.001138
doc003_q04,doc003,long_context,1,13581,3.463,0.002342
doc003_q04,doc003,dat_no_expansion,9,8620,3.071,0.002933
doc003_q04,doc003,dat_parent_only,6,10315,3.988,0.002032
doc003_q04,doc003,dat_no_self_scoring,7,8934,3.059,0.001493
doc003_q05,doc003,dat_full,12,11082,6.905,0.003662
doc003_q05,doc003,flat_rag,2,5300,2.306,0.001126
doc003_q05,doc003,section_rag,3,6293,3.547,0.001408
doc003_q05,doc003,long_context,2,10951,2.465,0.002545
doc003_q05,doc003,dat_no_expansion,8,8117,4.916,0.002028
doc003_q05,doc003,dat_parent_only,8,8373,3.698,0.002389
doc003_q05,doc003,dat_no_self_scoring,7,11668,3.706,0.002105
doc003_q06,doc003,dat_full,10,11308,5.683,0.003467
doc003_q06,doc003,flat_rag,2,5001,3.15,0.001022
doc003_q06,doc003,section_rag,3,6324,3.92,0.001568
doc003_q06,doc003,long_context,2,12174,4.764,0.002182
doc003_q06,doc003,dat_no_expansion,7,8880,4.342,0.002704
doc003_q06,doc003,dat_parent_only,8,8944,3.202,0.002028
doc003_q06,doc003,dat_no_self_scoring,7,8200,3.406,0.00209
doc003_q07,doc003,dat_full,11,8657,4.396,0.003088
doc003_q07,doc003,flat_rag,2,6382,2.579,0.001082
doc003_q07,doc003,section_rag,3,7594,2.458,0.001265
doc003_q07,doc003,long_context,2,8857,4.254,0.002345
doc003_q07,doc003,dat_no_expansion,8,9272,4.551,0.001706
doc003_q07,doc003,dat_parent_only,8,11754,2.487,0.002535
doc003_q07,doc003,dat_no_self_scoring,7,7972,2.771,0.001709
doc003_q08,doc003,dat_full,10,10356,3.6,0.003219
doc003_q08,doc003,flat_rag,2,5461,1.691,0.001411
doc003_q08,doc003,section_rag,3,6372,2.392,0.001826
doc003_q08,doc003,long_context,1,14750,3.761,0.00218
doc003_q08,doc003,dat_no_expansion,10,10447,4.736,0.002226
doc003_q08,doc003,dat_parent_only,8,8349,3.28,0.002138
doc003_q08,doc003,dat_no_self_scoring,7,9441,2.406,0.001241
doc004_q01,doc004,dat_full,10,13501,4.563,0.004217
doc004_q01,doc004,flat_rag,2,5352,1.477,0.001205
doc004_q01,doc004,section_rag,3,7096,2.641,0.001789
doc004_q01,doc004,long_context,2,12248,4.416,0.002204
doc004_q01,doc004,dat_no_expansion,9,8909,1.096,0.001891
doc004_q01,doc004,dat_parent_only,8,9161,3.087,0.002351
doc004_q01,doc004,dat_no_self_scoring,7,7552,4.876,0.002063
doc004_q02,doc004,dat_full,10,9545,4.435,0.003703
doc004_q02,doc004,flat_rag,2,6028,2.64,0.000959
doc004_q02,doc004,section_rag,4,7363,2.608,0.002128
doc004_q02,doc004,long_context,2,10799,2.698,0.001714
doc004_q02,doc004,dat_no_expansion,8,9395,4.117,0.002602
doc004_q02,doc004,dat_parent_only,7,7465,2.455,0.001852
doc004_q02,doc004,dat_no_self_scoring,6,6745,3.287,0.001884
doc004_q03,doc004,dat_full,9,9505,5.175,0.002873
doc004_q03,doc004,flat_rag,2,4191,2.876,0.001056
doc004_q03,doc004,section_rag,3,6136,4.133,0.001601
doc004_q03,doc004,long_context,2,14498,2.529,0.00153
doc004_q03,doc004,dat_no_expansion,9,9496,3.685,0.00221
doc004_q03,doc004,dat_parent_only,6,10056,3.398,0.00228
doc004_q03,doc004,dat_no_self_scoring,5,8188,2.577,0.002261
doc004_q04,doc004,dat_full,10,11628,6.066,0.002151
doc004_q04,doc004,flat_rag,2,5431,1.954,0.000851
doc004_q04,doc004,section_rag,4,5920,3.683,0.002022
doc004_q04,doc004,long_context,2,16055,3.339,0.003105
doc004_q04,doc004,dat_no_expansion,8,7804,4.157,0.002374
doc004_q04,doc004,dat_parent_only,6,10391,2.794,0.002112
doc004_q04,doc004,dat_no_self_scoring,7,8200,3.422,0.002524
doc004_q05,doc004,dat_full,10,12106,3.257,0.002116
doc004_q05,doc004,flat_rag,2,6269,2.224,0.001084
doc004_q05,doc004,section_rag,3,6939,3.112,0.001911
doc004_q05,doc004,long_context,1,11944,4.185,0.002386
doc004_q05,doc004,dat_no_expansion,9,9592,4.217,0.001699
doc004_q05,doc004,dat_parent_only,8,9638,3.048,0.001302
doc004_q05,doc004,dat_no_self_scoring,6,8398,3.903,0.001629
doc004_q06,doc004,dat_full,10,11780,4.151,0.003104
doc004_q06,doc004,flat_rag,2,4387,2.297,0.001618
doc004_q06,doc004,section_rag,3,8276,3.899,0.0016
doc004_q06,doc004,long_context,2,13892,3.483,0.00284
doc004_q06,doc004,dat_no_expansion,9,6458,4.329,0.001523
doc004_q06,doc004,dat_parent_only,7,10823,3.537,0.002381
doc004_q06,doc004,dat_no_self_scoring,7,9116,2.166,0.001076
doc004_q07,doc004,dat_full,12,9938,5.193,0.002794
doc004_q07,doc004,flat_rag,2,5006,1.976,0.001247
doc004_q07,doc004,section_rag,3,9235,3.146,0.001527
doc004_q07,doc004,long_context,2,14275,3.523,0.002549
doc004_q07,doc004,dat_no_expansion,7,8487,4.601,0.00248
doc004_q07,doc004,dat_parent_only,6,8572,3.958,0.002112
doc004_q07,doc004,dat_no_self_scoring,7,8505,2.715,0.002029
doc004_q08,doc004,dat_full,14,11760,3.381,0.002982
doc004_q08,doc004,flat_rag,2,5244,1.362,0.001183
doc004_q08,doc004,section_rag,3,7159,2.452,0.001558
doc004_q08,doc004,long_context,2,12848,3.547,0.003998
doc004_q08,doc004,dat_no_expansion,9,10259,3.729,0.001891
doc004_q08,doc004,dat_parent_only,7,10469,2.958,0.001726
doc004_q08,doc004,dat_no_self_scoring,6,9645,3.661,0.002474
doc005_q01,doc005,dat_full,11,10998,2.939,0.002236
doc005_q01,doc005,flat_rag,2,4695,2.367,0.000623
doc005_q01,doc005,section_rag,4,8019,3.29,0.001913
doc005_q01,doc005,long_context,2,14729,3.877,0.00174
doc005_q01,doc005,dat_no_expansion,8,7224,2.888,0.001796
doc005_q01,doc005,dat_parent_only,7,9521,3.655,0.002538
doc005_q01,doc005,dat_no_self_scoring,6,9754,3.743,0.002318
doc005_q02,doc005,dat_full,12,9499,5.653,0.00293
doc005_q02,doc005,flat_rag,2,6065,2.368,0.000705
doc005_q02,doc005,section_rag,4,6939,2.995,0.001753
doc005_q02,doc005,long_context,2,17496,3.884,0.001987
doc005_q02,doc005,dat_no_expansion,8,12378,4.079,0.002514
doc005_q02,doc005,dat_parent_only,6,8014,3.622,0.00195
doc005_q02,doc005,dat_no_self_scoring,7,11129,2.905,0.002091
doc005_q03,doc005,dat_full,11,8873,5.95,0.003604
doc005_q03,doc005,flat_rag,2,5493,1.93,0.001305
doc005_q03,doc005,section_rag,4,8508,2.707,0.001902
doc005_q03,doc005,long_context,1,13696,4.746,0.001843
doc005_q03,doc005,dat_no_expansion,7,9861,2.917,0.003097
doc005_q03,doc005,dat_parent_only,6,10942,2.801,0.001367
doc005_q03,doc005,dat_no_self_scoring,5,9360,3.131,0.00138
doc005_q04,doc005,dat_full,11,11394,5.719,0.003614
doc005_q04,doc005,flat_rag,2,4399,2.443,0.001161
doc005_q04,doc005,section_rag,4,6811,3.045,0.001687
doc005_q04,doc005,long_context,1,10343,4.119,0.00176
doc005_q04,doc005,dat_no_expansion,7,9888,3.68,0.002525
doc005_q04,doc005,dat_parent_only,7,7309,4.088,0.001804
doc005_q04,doc005,dat_no_self_scoring,7,8823,3.755,0.001454
doc005_q05,doc005,dat_full,10,9591,5.518,0.003197
doc005_q05,doc005,flat_rag,2,5175,2.255,0.001101
doc005_q05,doc005,section_rag,3,6937,3.106,0.001389
doc005_q05,doc005,long_context,2,14241,2.833,0.002109
doc005_q05,doc005,dat_no_expansion,9,11629,3.982,0.002344
doc005_q05,doc005,dat_parent_only,7,7494,3.965,0.002008
doc005_q05,doc005,dat_no_self_scoring,6,9798,3.541,0.001655
doc005_q06,doc005,dat_full,11,11816,3.087,0.003348
doc005_q06,doc005,flat_rag,2,4766,1.888,0.001197
doc005_q06,doc005,section_rag,3,5770,2.991,0.001478
doc005_q06,doc005,long_context,2,14398,2.956,0.002097
doc005_q06,doc005,dat_no_expansion,7,11007,4.194,0.001653
doc005_q06,doc005,dat_parent_only,7,8910,3.121,0.001827
doc005_q06,doc005,dat_no_self_scoring,6,9656,2.327,0.00172
doc005_q07,doc005,dat_full,12,13659,4.973,0.002165
doc005_q07,doc005,flat_rag,2,5570,1.887,0.000976
doc005_q07,doc005,section_rag,3,5975,2.068,0.001497
doc005_q07,doc005,long_context,2,10762,4.74,0.002276
doc005_q07,doc005,dat_no_expansion,8,9746,4.018,0.002721
doc005_q07,doc005,dat_parent_only,8,8452,3.549,0.001999
doc005_q07,doc005,dat_no_self_scoring,6,9098,3.489,0.00227
doc005_q08,doc005,dat_full,12,12371,5.406,0.003546
doc005_q08,doc005,flat_rag,2,5050,2.299,0.000674
doc005_q08,doc005,section_rag,3,7113,2.928,0.001571
doc005_q08,doc005,long_context,2,15433,3.042,0.002683
doc005_q08,doc005,dat_no_expansion,9,11095,3.767,0.00203
doc005_q08,doc005,dat_parent_only,6,9373,4.056,0.002556
doc005_q08,doc005,dat_no_self_scoring,7,8918,3.866,0.001853
doc006_q01,doc006,dat_full,13,12084,4.009,0.002867
doc006_q01,doc006,flat_rag,2,5165,1.368,0.000757
doc006_q01,doc006,section_rag,4,5804,2.942,0.001494
doc006_q01,doc006,long_context,2,9663,5.108,0.002045
doc006_q01,doc006,dat_no_expansion,9,10469,4.346,0.002426
doc006_q01,doc006,dat_parent_only,6,7195,2.748,0.002858
doc006_q01,doc006,dat_no_self_scoring,6,7963,3.142,0.001117
doc006_q02,doc006,dat_full,12,9070,4.9,0.002795
doc006_q02,doc006,flat_rag,2,5682,1.909,0.000973
doc006_q02,doc006,section_rag,4,5573,3.459,0.00165
doc006_q02,doc006,long_context,2,12138,4.719,0.002006
doc006_q02,doc006,dat_no_expansion,8,9264,2.967,0.00186
doc006_q02,doc006,dat_parent_only,7,9495,3.412,0.002119
doc006_q02,doc006,dat_no_self_scoring,6,7896,3.575,0.001737
doc006_q03,doc006,dat_full,11,14631,4.294,0.001391
doc006_q03,doc006,flat_rag,2,3560,2.424,0.001267
doc006_q03,doc006,section_rag,4,7952,3.542,0.00112
doc006_q03,doc006,long_context,2,10781,4.276,0.001745
doc006_q03,doc006,dat_no_expansion,8,8447,3.121,0.00137
doc006_q03,doc006,dat_parent_only,7,10593,3.509,0.001981
doc006_q03,doc006,dat_no_self_scoring,7,10516,2.868,0.001756
doc006_q04,doc006,dat_full,11,12575,3.923,0.002578
doc006_q04,doc006,flat_rag,2,4945,2.133,0.001139
doc006_q04,doc006,section_rag,3,8091,2.791,0.0013
doc006_q04,doc006,long_context,2,14718,3.633,0.00132
doc006_q04,doc006,dat_no_expansion,10,9299,4.499,0.00279
doc006_q04,doc006,dat_parent_only,7,7461,3.228,0.00194
doc006_q04,doc006,dat_no_self_scoring,5,9609,3.523,0.002006
doc006_q05,doc006,dat_full,10,8043,4.886,0.00268
doc006_q05,doc006,flat_rag,2,5452,2.853,0.000927
doc006_q05,doc006,section_rag,3,6820,2.493,0.001896
doc006_q05,doc006,long_context,1,12150,3.884,0.002389
doc006_q05,doc006,dat_no_expansion,8,9344,5.036,0.001529
doc006_q05,doc006,dat_parent_only,6,8666,2.988,0.002362
doc006_q05,doc006,dat_no_self_scoring,7,10560,3.766,0.001877
doc006_q06,doc006,dat_full,11,13232,6.155,0.002566
doc006_q06,doc006,flat_rag,2,7196,3.106,0.001126
doc006_q06,doc006,section_rag,4,5737,2.689,0.001427
doc006_q06,doc006,long_context,2,12826,3.036,0.001722
doc006_q06,doc006,dat_no_expansion,10,9184,4.739,0.002708
doc006_q06,doc006,dat_parent_only,6,7885,3.751,0.001801
doc006_q06,doc006,dat_no_self_scoring,7,7896,2.041,0.001985
doc006_q07,doc006,dat_full,10,9894,6.202,0.002906
doc006_q07,doc006,flat_rag,2,3715,2.859,0.001362
doc006_q07,doc006,section_rag,4,6428,3.807,0.001529
doc006_q07,doc006,long_context,1,11184,3.959,0.002077
doc006_q07,doc006,dat_no_expansion,9,10095,3.337,0.001965
doc006_q07,doc006,dat_parent_only,6,7189,2.735,0.001477
doc006_q07,doc006,dat_no_self_scoring,7,9957,3.65,0.001336
doc006_q08,doc006,dat_full,13,8554,5.463,0.003296
doc006_q08,doc006,flat_rag,2,5593,1.898,0.000631
doc006_q08,doc006,section_rag,4,8256,3.083,0.00187
doc006_q08,doc006,long_context,2,11987,4.366,0.002664
doc006_q08,doc006,dat_no_expansion,8,9626,4.811,0.001583
doc006_q08,doc006,dat_parent_only,8,8753,4.133,0.001528
doc006_q08,doc006,dat_no_self_scoring,6,8266,3.164,0.002166
doc007_q01,doc007,dat_full,10,10342,5.737,0.003399
doc007_q01,doc007,flat_rag,2,5686,3.009,0.001091
doc007_q01,doc007,section_rag,3,6922,2.796,0.001455
doc007_q01,doc007,long_context,2,12877,2.787,0.002319
doc007_q01,doc007,dat_no_expansion,9,10714,3.509,0.002177
doc007_q01,doc007,dat_parent_only,7,5619,4.197,0.001814
doc007_q01,doc007,dat_no_self_scoring,7,8964,1.677,0.001786
doc007_q02,doc007,dat_full,13,10595,4.272,0.002855
doc007_q02,doc007,flat_rag,2,5205,2.467,0.001128
doc007_q02,doc007,section_rag,3,8251,2.123,0.002121
doc007_q02,doc007,long_context,2,13303,2.879,0.003173
doc007_q02,doc007,dat_no_expansion,7,8094,3.791,0.001961
doc007_q02,doc007,dat_parent_only,8,10288,3.592,0.001982
doc007_q02,doc007,dat_no_self_scoring,8,9493,2.969,0.002399
doc007_q03,doc007,dat_full,9,10964,5.119,0.002721
doc007_q03,doc007,flat_rag,2,5650,1.981,0.001257
doc007_q03,doc007,section_rag,3,9337,3.507,0.00183
doc007_q03,doc007,long_context,1,14188,3.533,0.001796
doc007_q03,doc007,dat_no_expansion,9,9682,4.015,0.001982
doc007_q03,doc007,dat_parent_only,8,6375,4.577,0.002054
doc007_q03,doc007,dat_no_self_scoring,7,8831,2.449,0.001999
doc007_q04,doc007,dat_full,11,16324,5.168,0.004167
doc007_q04,doc007,flat_rag,2,6158,1.97,0.000919
doc007_q04,doc007,section_rag,4,6993,2.679,0.001192
doc007_q04,doc007,long_context,2,12520,4.54,0.003296
doc007_q04,doc007,dat_no_expansion,8,9919,2.825,0.002555
doc007_q04,doc007,dat_parent_only,7,9144,3.897,0.0014
doc007_q04,doc007,dat_no_self_scoring,7,9397,3.388,0.002171
doc007_q05,doc007,dat_full,11,11932,4.612,0.002794
doc007_q05,doc007,flat_rag,2,5507,2.341,0.001029
doc007_q05,doc007,section_rag,3,6487,3.257,0.001867
doc007_q05,doc007,long_context,2,12362,2.515,0.002336
doc007_q05,doc007,dat_no_expansion,7,10988,4.665,0.001457
doc007_q05,doc007,dat_parent_only,6,9550,2.876,0.001706
doc007_q05,doc007,dat_no_self_scoring,7,7112,2.829,0.001681
doc007_q06,doc007,dat_full,10,11947,6.324,0.002579
doc007_q06,doc007,flat_rag,2,5550,2.241,0.00127
doc007_q06,doc007,section_rag,4,8164,3.299,0.001646
doc007_q06,doc007,long_context,1,12632,3.911,0.002241
doc007_q06,doc007,dat_no_expansion,8,8425,3.854,0.001155
doc007_q06,doc007,dat_parent_only,7,7530,4.657,0.001121
doc007_q06,doc007,dat_no_self_scoring,7,7999,4.086,0.000682
doc007_q07,doc007,dat_full,12,13149,4.594,0.003019
doc007_q07,doc007,flat_rag,2,6680,2.833,0.001229
doc007_q07,doc007,section_rag,3,6980,3.247,0.001477
doc007_q07,doc007,long_context,1,10474,4.131,0.002486
doc007_q07,doc007,dat_no_expansion,7,8010,4.222,0.00177
doc007_q07,doc007,dat_parent_only,7,11087,3.905,0.002224
doc007_q07,doc007,dat_no_self_scoring,7,8921,2.86,0.001937
doc007_q08,doc007,dat_full,12,11547,4.657,0.002276
doc007_q08,doc007,flat_rag,2,5336,1.231,0.00098
doc007_q08,doc007,section_rag,3,7188,3.211,0.001768
doc007_q08,doc007,long_context,2,15687,4.301,0.002702
doc007_q08,doc007,dat_no_expansion,9,9169,4.562,0.001993
doc007_q08,doc007,dat_parent_only,7,8329,4.045,0.002303
doc007_q08,doc007,dat_no_self_scoring,6,9648,3.915,0.001431
doc008_q01,doc008,dat_full,11,11769,4.209,0.003021
doc008_q01,doc008,flat_rag,2,4941,2.408,0.001613
doc008_q01,doc008,section_rag,3,7412,3.36,0.001496
doc008_q01,doc008,long_context,2,14252,3.724,0.002434
doc008_q01,doc008,dat_no_expansion,8,6372,3.032,0.002084
doc008_q01,doc008,dat_parent_only,7,9250,2.669,0.002488
doc008_q01,doc008,dat_no_self_scoring,6,9029,3.402,0.001444
doc008_q02,doc008,dat_full,14,10885,3.837,0.002742
doc008_q02,doc008,flat_rag,2,6415,3.084,0.001095
doc008_q02,doc008,section_rag,3,4070,3.599,0.001724
doc008_q02,doc008,long_context,2,15582,3.33,0.002419
doc008_q02,doc008,dat_no_expansion,8,10495,3.896,0.002088
doc008_q02,doc008,dat_parent_only,8,10812,3.253,0.001561
doc008_q02,doc008,dat_no_self_scoring,6,9501,2.363,0.001836
doc008_q03,doc008,dat_full,10,14242,6.234,0.003204
doc008_q03,doc008,flat_rag,2,5624,1.063,0.00124
doc008_q03,doc008,section_rag,4,5812,3.589,0.000841
doc008_q03,doc008,long_context,2,13524,3.424,0.002828
doc008_q03,doc008,dat_no_expansion,8,7406,3.285,0.002005
doc008_q03,doc008,dat_parent_only,6,7386,3.211,0.001677
doc008_q03,doc008,dat_no_self_scoring,7,8744,3.204,0.001818
doc008_q04,doc008,dat_full,12,9597,4.032,0.003511
doc008_q04,doc008,flat_rag,2,6163,1.675,0.001252
doc008_q04,doc008,section_rag,3,8563,2.886,0.00166
doc008_q04,doc008,long_context,2,14869,5.36,0.00169
doc008_q04,doc008,dat_no_expansion,8,9439,4.77,0.002479
doc008_q04,doc008,dat_parent_only,7,8291,3.98,0.003115
doc008_q04,doc008,dat_no_self_scoring,6,5565,2.192,0.001868
doc008_q05,doc008,dat_full,10,9445,4.129,0.002795
doc008_q05,doc008,flat_rag,2,5136,2.769,0.001266
doc008_q05,doc008,section_rag,3,7180,3.902,0.002122
